Date,Open,High,Low,Close,Adj_Close,Volume
25-Apr-24,158.96,170.88,158.36,170.18,170.18,"126,427,500"
24-Apr-24,162.84,167.97,157.51,162.13,162.13,"181,178,000"
23-Apr-24,143.33,147.26,141.11,144.68,144.68,"124,545,100"
22-Apr-24,140.56,144.44,138.8,142.05,142.05,"107,097,600"
19-Apr-24,148.97,150.94,146.22,147.05,147.05,"86,005,100"
18-Apr-24,151.25,152.2,148.7,149.93,149.93,"96,098,800"
17-Apr-24,157.64,158.33,153.78,155.45,155.45,"82,439,700"
16-Apr-24,156.74,158.19,153.75,157.11,157.11,"97,000,000"
15-Apr-24,170.24,170.69,161.38,161.48,161.48,"100,245,300"
12-Apr-24,172.34,173.81,170.36,171.05,171.05,"64,506,600"
11-Apr-24,172.55,175.88,168.51,174.6,174.6,"94,516,000"
10-Apr-24,173.04,174.93,170.01,171.76,171.76,"84,532,400"
9-Apr-24,172.91,179.22,171.92,176.88,176.88,"103,232,700"
8-Apr-24,169.34,174.5,167.79,172.98,172.98,"104,423,300"
5-Apr-24,169.08,170.86,160.51,164.9,164.9,"141,250,700"
4-Apr-24,170.07,177.19,168.01,171.11,171.11,"123,162,000"
3-Apr-24,164.02,168.82,163.28,168.38,168.38,"82,950,100"
2-Apr-24,164.75,167.69,163.43,166.63,166.63,"116,650,600"
1-Apr-24,176.17,176.75,170.21,175.22,175.22,"81,562,100"
28-Mar-24,177.45,179.57,175.3,175.79,175.79,"77,654,800"
27-Mar-24,181.41,181.91,176,179.83,179.83,"81,804,000"
26-Mar-24,178.58,184.25,177.38,177.67,177.67,"113,186,200"
25-Mar-24,168.76,175.24,168.73,172.63,172.63,"74,228,600"
22-Mar-24,166.69,171.2,166.3,170.83,170.83,"75,454,700"
21-Mar-24,176.39,178.18,171.8,172.82,172.82,"73,178,000"
20-Mar-24,173,176.25,170.82,175.66,175.66,"83,846,700"
19-Mar-24,172.36,172.82,167.42,171.32,171.32,"77,271,400"
18-Mar-24,170.02,174.72,165.9,173.8,173.8,"108,214,400"
15-Mar-24,163.16,165.18,160.76,163.57,163.57,"96,971,900"
14-Mar-24,167.77,171.17,160.51,162.5,162.5,"126,325,700"
13-Mar-24,173.05,176.05,169.15,169.48,169.48,"106,524,500"
12-Mar-24,177.77,179.43,172.41,177.54,177.54,"87,391,700"
11-Mar-24,175.45,182.87,174.8,177.77,177.77,"85,391,500"
8-Mar-24,181.5,182.73,174.7,175.34,175.34,"85,315,300"
7-Mar-24,174.35,180.04,173.7,178.65,178.65,"102,129,000"
6-Mar-24,179.99,181.58,173.7,176.54,176.54,"107,920,900"
5-Mar-24,183.05,184.59,177.57,180.74,180.74,"119,660,800"
4-Mar-24,198.73,199.75,186.72,188.14,188.14,"134,334,900"
1-Mar-24,200.52,204.52,198.5,202.64,202.64,"82,099,200"
29-Feb-24,204.18,205.28,198.45,201.88,201.88,"85,907,000"
28-Feb-24,200.42,205.3,198.44,202.04,202.04,"99,806,200"
27-Feb-24,204.04,205.6,198.26,199.73,199.73,"108,645,400"
26-Feb-24,192.29,201.78,192,199.4,199.4,"111,747,100"
23-Feb-24,195.31,197.57,191.5,191.97,191.97,"78,841,900"
22-Feb-24,194,198.32,191.36,197.41,197.41,"92,739,500"
21-Feb-24,193.36,199.44,191.95,194.77,194.77,"103,844,000"
20-Feb-24,196.13,198.6,189.13,193.76,193.76,"104,545,800"
16-Feb-24,202.06,203.17,197.4,199.95,199.95,"111,173,600"
15-Feb-24,189.16,200.88,188.86,200.45,200.45,"120,831,800"
14-Feb-24,185.3,188.89,183.35,188.71,188.71,"81,203,000"
13-Feb-24,183.99,187.26,182.11,184.02,184.02,"86,759,500"
12-Feb-24,192.11,194.73,187.28,188.13,188.13,"95,498,600"
9-Feb-24,190.18,194.12,189.48,193.57,193.57,"84,476,300"
8-Feb-24,189,191.62,185.58,189.56,189.56,"83,034,000"
7-Feb-24,188.18,189.79,182.68,187.58,187.58,"111,535,200"
6-Feb-24,177.21,186.49,177.11,185.1,185.1,"122,676,000"
5-Feb-24,184.26,184.68,175.01,181.06,181.06,"134,294,400"
2-Feb-24,185.04,188.69,182,187.91,187.91,"110,505,100"
1-Feb-24,188.5,189.88,184.28,188.86,188.86,"91,843,300"
31-Jan-24,187,193.97,185.85,187.29,187.29,"103,221,400"
30-Jan-24,195.33,196.36,190.61,191.59,191.59,"109,982,300"
29-Jan-24,185.63,191.48,183.67,190.93,190.93,"125,013,100"
26-Jan-24,185.5,186.78,182.1,183.25,183.25,"107,343,200"
25-Jan-24,189.7,193,180.06,182.63,182.63,"198,076,800"
24-Jan-24,211.88,212.73,206.77,207.83,207.83,"123,369,900"
23-Jan-24,211.3,215.65,207.75,209.14,209.14,"106,605,900"
22-Jan-24,212.26,217.8,206.27,208.8,208.8,"117,952,500"
19-Jan-24,209.99,213.19,207.56,212.19,212.19,"102,095,800"
18-Jan-24,216.88,217.45,208.74,211.88,211.88,"108,595,400"
17-Jan-24,214.86,215.67,212.01,215.55,215.55,"103,164,400"
16-Jan-24,215.1,223.49,212.18,219.91,219.91,"115,355,000"
12-Jan-24,220.08,225.34,217.15,218.89,218.89,"122,889,000"
11-Jan-24,230.57,230.93,225.37,227.22,227.22,"105,873,600"
10-Jan-24,235.1,235.5,231.29,233.94,233.94,"91,628,500"
9-Jan-24,238.11,238.96,232.04,234.96,234.96,"96,705,700"
8-Jan-24,236.14,241.25,235.3,240.45,240.45,"85,166,600"
5-Jan-24,236.86,240.12,234.9,237.49,237.49,"92,379,400"
4-Jan-24,239.25,242.7,237.73,237.93,237.93,"102,629,300"
3-Jan-24,244.98,245.68,236.32,238.45,238.45,"121,082,600"
2-Jan-24,250.08,251.25,244.41,248.42,248.42,"104,654,200"
29-Dec-23,255.1,255.19,247.43,248.48,248.48,"100,615,300"
28-Dec-23,263.66,265.13,252.71,253.18,253.18,"113,619,900"
27-Dec-23,258.35,263.34,257.52,261.44,261.44,"106,494,400"
26-Dec-23,254.49,257.97,252.91,256.61,256.61,"86,892,400"
22-Dec-23,256.76,258.22,251.37,252.54,252.54,"93,249,800"
21-Dec-23,251.9,254.8,248.55,254.5,254.5,"109,594,200"
20-Dec-23,256.41,259.84,247,247.14,247.14,"125,097,000"
19-Dec-23,253.48,258.34,253.01,257.22,257.22,"106,737,400"
18-Dec-23,253.78,258.74,251.36,252.08,252.08,"116,416,500"
15-Dec-23,251.21,254.13,248.3,253.5,253.5,"135,720,800"
14-Dec-23,241.22,253.88,240.79,251.05,251.05,"160,829,200"
13-Dec-23,234.19,240.3,228.2,239.29,239.29,"146,286,300"
12-Dec-23,238.55,238.99,233.87,237.01,237.01,"95,328,300"
11-Dec-23,242.74,243.44,237.45,239.74,239.74,"97,913,900"
8-Dec-23,240.27,245.27,239.27,243.84,243.84,"102,980,100"
7-Dec-23,241.55,244.08,236.98,242.64,242.64,"107,142,300"
6-Dec-23,242.92,246.57,239.17,239.37,239.37,"126,436,200"
5-Dec-23,233.87,246.66,233.7,238.72,238.72,"137,971,100"
4-Dec-23,235.75,239.37,233.29,235.58,235.58,"104,099,800"
1-Dec-23,233.14,240.19,231.9,238.83,238.83,"121,173,500"
30-Nov-23,245.14,245.22,236.91,240.08,240.08,"132,353,200"
29-Nov-23,249.21,252.75,242.76,244.14,244.14,"135,401,300"
28-Nov-23,236.68,247,234.01,246.72,246.72,"148,549,900"
27-Nov-23,236.89,238.33,232.1,236.08,236.08,"112,031,800"
24-Nov-23,233.75,238.75,232.33,235.45,235.45,"65,125,200"
22-Nov-23,242.04,244.01,231.4,234.21,234.21,"117,950,600"
21-Nov-23,235.04,243.62,233.34,241.2,241.2,"122,288,000"
20-Nov-23,234.04,237.1,231.02,235.6,235.6,"116,320,100"
17-Nov-23,232,237.39,226.54,234.3,234.3,"142,532,800"
16-Nov-23,239.49,240.88,230.96,233.59,233.59,"136,816,800"
15-Nov-23,239.29,246.7,236.45,242.84,242.84,"150,354,000"
14-Nov-23,235.03,238.14,230.72,237.41,237.41,"149,771,600"
13-Nov-23,215.6,225.4,211.61,223.71,223.71,"140,447,600"
10-Nov-23,210.03,215.38,205.69,214.65,214.65,"130,994,000"
9-Nov-23,219.75,220.8,206.68,209.98,209.98,"142,110,500"
8-Nov-23,223.15,224.15,217.64,222.11,222.11,"106,584,800"
7-Nov-23,219.98,223.12,215.72,222.18,222.18,"116,900,100"
6-Nov-23,223.98,226.32,215,219.27,219.27,"117,335,800"
3-Nov-23,221.15,226.37,218.4,219.96,219.96,"119,281,000"
2-Nov-23,212.97,219.2,211.45,218.51,218.51,"125,987,600"
1-Nov-23,204.04,205.99,197.85,205.66,205.66,"121,661,700"
31-Oct-23,196.12,202.8,194.07,200.84,200.84,"118,068,300"
30-Oct-23,209.28,210.88,194.67,197.36,197.36,"136,448,200"
27-Oct-23,210.6,212.41,205.77,207.3,207.3,"94,881,200"
26-Oct-23,211.32,214.8,204.88,205.76,205.76,"115,112,600"
25-Oct-23,215.88,220.1,212.2,212.42,212.42,"107,065,100"
24-Oct-23,216.5,222.05,214.11,216.52,216.52,"118,231,100"
23-Oct-23,210,216.98,202.51,212.08,212.08,"150,683,400"
20-Oct-23,217.01,218.86,210.42,211.99,211.99,"137,734,000"
19-Oct-23,225.95,230.61,216.78,220.11,220.11,"170,772,700"
18-Oct-23,252.7,254.63,242.08,242.68,242.68,"125,147,800"
17-Oct-23,250.1,257.18,247.08,254.85,254.85,"93,562,900"
16-Oct-23,250.05,255.4,248.48,253.92,253.92,"88,917,200"
13-Oct-23,258.9,259.6,250.22,251.12,251.12,"102,073,800"
12-Oct-23,262.92,265.41,256.63,258.87,258.87,"111,508,100"
11-Oct-23,266.2,268.6,260.9,262.99,262.99,"103,706,300"
10-Oct-23,257.75,268.94,257.65,263.62,263.62,"122,656,000"
9-Oct-23,255.31,261.36,252.05,259.67,259.67,"101,377,900"
6-Oct-23,253.98,261.65,250.65,260.53,260.53,"117,947,000"
5-Oct-23,260,263.6,256.25,260.05,260.05,"119,159,200"
4-Oct-23,248.14,261.86,247.6,261.16,261.16,"129,721,600"
3-Oct-23,248.61,250.02,244.45,246.53,246.53,"101,985,300"
2-Oct-23,244.81,254.28,242.62,251.6,251.6,"123,810,400"
29-Sep-23,250,254.77,246.35,250.22,250.22,"128,346,200"
28-Sep-23,240.02,247.55,238.65,246.38,246.38,"117,058,900"
27-Sep-23,244.26,245.33,234.58,240.5,240.5,"136,597,200"
26-Sep-23,242.98,249.55,241.66,244.12,244.12,"101,993,600"
25-Sep-23,243.38,247.1,238.31,246.99,246.99,"104,636,600"
22-Sep-23,257.4,257.79,244.48,244.88,244.88,"127,524,100"
21-Sep-23,257.85,260.86,254.21,255.7,255.7,"119,531,000"
